PROJECT_ID,LOAD_DATETIME,PROJECT_IS_ACTIVE,DATE_CREATED,CREATED_BY,MOST_RECENT_UPDATE_DATE,PROJECT_MODIFIED_BY,PROJECT_NAME,TECHNOLOGY_CATEGORY,NAMEPLATECAPACITYMWAC,NAMEPLATECAPACITYMWP,POICAPACITYMWAC,CONTRACTEDCAPACITYMWAC,CONTRACTEDCAPACITYMWDC,ASSET_TYPE,IS_ASSET_JOINT_VENTURE,MORE_THAN_150K_CAPEX_SPENT,PROJECT_COMMENT,CURRENT_PROJECT_STATUS,CURRENT_OFFTAKER_NAME,CURRENT_OFFTAKER_TYPE,CURRENT_OFFTAKER_TERM,CURRENT_OFFTAKER_STATUS,CURRENT_OFFTAKER_CREDIT_OBLIGATION,CURRENT_OFFTAKE_CONTRACT_TYPE,CURRENT_OFFTAKE_CONTRACT_COUNTERPARTY,CURRENT_PERMITTING_STATUS,CURRENT_PERMITTING_STATUS_RELEVANT_NOTES,CURRENT_INTERCONNECTION_STATUS,CURRENT_INTERCONNECTION_STATUS_RELEVANT_NOTES,CURRENT_RELEVANT_ISO,CURRENT_RELEVANT_HUB,CURRENT_RELEVANT_NODE,BUSINESS_LINE,IS_PROJECT_CAPITALIZED,IS_PROJECT_IN_BASE_PLAN,HAS_OUTSTANDING_INTERCONNECTION_LETTER_OF_CREDIT,DISTRIBUTED_SOLUTIONS_PRIORITY,INCENTIVE_DESCRIPTION,ECRM_SITE_URL,QUEUE_POSITION,METERAGENTISO,ISORESOURCE_ID,IS_PROJECT_EDF_OWNED,EDF_OWNERSHIP_PERCENTAGE,DEBT_RATIO,DEVELOPMENT_TYPE,GROSS_MW_CAPACITY,NET_MW_CAPACITY,LONG_TERM_OWNER,DEVELOPMENT_MANAGER_PRIMARY,DEVELOPMENT_MANAGER_SECONDARY,IMPLEMENTATION_PROGRAM_MANAGER,DEVELOPMENT_PORTFOLIO_MANAGER,EARLY_PECM,KEY_CLIENT_MANAGER,ASSET_MANAGER,LAND_ACQUISITION_MANAGER,TITLE_SPECIALIST,GIS_ANALYST,ENERGY_ANALYST,INTERCONNECTION_ANALYST,REGIONAL_OPERATIONS_MANAGER,PRE_CONSTRUCTION_MANAGER,VAT_LEAD,STRATEGIC_CUSTOMER_RELATIONSHIP_MANAGER,ORIGINATOR,VAT_MODELER,LEGAL,PROCUREMENT,STORAGE,EXECUTION_PECM,ASSOCIATE_PROGRAM_MANAGER,CONSTRUCTION_SITE_MANAGER,SITE_ADMIN,ELECTRICAL_SUPERINTENDENT_SUBSTATION,ELECTRICAL_SUPERINTENDENT_COLLECTION,MECHANICAL_CIVIL_SUPERINTENDENT,TAX_ACCOUNTANT,PROJECT_ACCOUNTANT,PROJECT_FINANCE_ANALYST,FLEET_ENGINEER,ASSOCIATE_ASSET_MANAGER,EXECUTIVE_SPONSOR,REGIONAL_SENIOR_DIRECTOR,AREA_TECHNICAL_SPECIALIST,BUSINESS_COORDINATOR,SUPPLY_CHAIN_BUYER,PHASE_LEADER_NAME,CORPORATE_LAND_ADMINISTRATOR,ACCOUNTING_SUPERVISOR,OM_SITE_MANAGER,DEVELOPMENT_PAYMENT_COORDINATOR,PORTFOLIO_ANALYST,HSE_REPRESENTATIVE,LATITUDE,LONGITUDE,COUNTY,ELEVATION_M,POI_NAME,POI_TYPE,POI_VOLTAGE,POI_DISTANCE,POI_ISINSERVICE,POI_INTERCONNECT_UTILITY,POI_GEN_TIE_LENGTH,CLOSEST_TOWN,CLOSEST_TOWN_DISTANCE,LAND_USE_LAND_COVER,SOIL_TYPE,LOCATION_DESCRIPTION,DEVELOPMENT_REGION,ASSET_OPTIMIZATION_REGION,COUNTRY,STATE_PROVINCE,STATE_PROVINCE_ABBREVIATION,WIND_FARMS_EXIST,WIND_FARMS_PLANNED,HEIGHT_RESTRICTION,SITE_TYPE,SITE_ADDRESS,RAG_FOLDER,AREA_IN_ACRES,CRITICAL_ISSUE_ANALYSIS_URL,HAS_MET_DATA,MET_TOWER_COUNT,MONTHS_OF_MET_DATA,HAS_SITE_VISIT,SITE_VISIT_DATE,SITE_VISIT_URL,HAS_PRELIMINARY_GEOTECH_REPORT,PRELIMINARY_GEOTECH_REPORT_DATE,PRELIMINARY_GEOTECH_REPORT_URL,PROJECT_FOLDER_PATH,EARLIEST_COD_DATE,COD_DATE,CAPITALIZATION_DATE,FINAL_INVESTMENT_DECISION_DATE,EXPECTED_PERMIT_COMPLETION_DATE,START_CONSTRUCTION_DATE,DOSSIER_DATE,BACKFEED_DATE,PERCENT_LAND_CONTROL,PPA_EXPIRATION,OEM_SERVICE_CONTRACT_DATE,END_OF_WARRANTY,INTERCONNECTION_APPLICATION_SUBMITTED,INTERCONNECTION_STUDIES_COMPLETED,INTERCONNECTION_AGREEMENT_SIGNED,MOBILIZATION_TO_SITE,OEM_SERVICE_CONTRACT_END_DATE,RS_SERVICE_CONTRACT_START_DATE,RS_SERVICE_CONTRACT_END_DATE,HAS_EDF_EN_MANAGEMENT_PLAN,EDF_EN_GROUP_CODE,WBS_NUMBER,PADRE_ID,PI_ID,USENERGYINFO,RECREGISTRY_ID,LEGALENTITY_ID,EIN,AUDITFIRM,TAXFIRM,IS_OM_CONTRACTED,OM_CONTRACT_URL,HAS_OM_FACILITY,DISTANCE_TO_OM_FACILITY_IN_MILES,IS_OM_FACILITY_OWNED_BY_EDF,DOES_OM_FACILITY_HAVE_AVAILABLE_WORKSTATION,OM_MANAGER_ALLOCATION,OM_TECHNICIAN_ALLOCATION,OM_BUSINESS_COORDINATOR_ALLOCATION,HAS_OM_ON_SITE_PRESENCE,OM_CLUSTER,BACKFEEDENERGYPROVIDER,OCC_SCOPE,SCADA_TYPE,IS_DAN_SERVER_USED,SCADA_SUPPORT_SCOPE,NERC_REGISTRATION,CIP_IMPACT_RATING,NERC_INTERCONNECTION,NERC_REGION,NERC_ASSESSMENT_REGION,REGIONAL_TRANSMISSION_ORGANIZATION,RELIABILITY_COORDINATOR,BALANCING_AUTHORITY,TRANSMISSION_OWNER,TRANSMISSION_OPERATOR,TRANSMISSION_SERVICE_PROVIDER,SCHEDULING_ENTITY,SCADA_REGIONAL_ENGINEER,MODELED_OR_OBSERVED_WIND_SPEED,NET_PRODUCTION,CASH_EQUITY_HOLDING_COMPANY,TAX_EQUITY_HOLDING_COMPANY,LEGAL_ENTITY,DOES_EDF_HAVE_MAJORITY_CONTROL_OF_ASSET,FINANCIALSTRUCTURE,SAP_CASHEQUITY,SAP_TAXEQUITY,SAP_LEGALENTITY,DUNS,TETARGETYIELD
38,2025-07-02 19:38:19.835,0,2012-03-13 00:00:00.0000000,NULL,2018-11-27 14:42:20.5270000,Ed Jones - US 8552,Colorado Springs,Wind - Onshore,0,0,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,NULL,United States,Colorado,CO,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
39,2025-07-02 19:38:19.835,0,2012-03-13 00:00:00.0000000,NULL,2018-11-27 14:42:20.5270000,Ed Jones - US 8552,Colorado Springs Solar,Solar,0,0,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,NULL,United States,Colorado,CO,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
44,2025-07-02 19:38:19.835,0,2012-03-13 00:00:00.0000000,NULL,2019-01-25 15:56:29.0908460,Phil Helmer - US 8138,Cucharas (Las Animas County),Wind - Onshore,0,0,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,USA_Central,United States,Colorado,CO,0,0,0,NULL,NULL,United States - West,0,NULL,1,3,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
367,2025-07-02 19:38:19.835,0,2012-03-13 00:00:00.0000000,NULL,2018-11-27 14:42:20.5270000,Ed Jones - US 8552,Busch Ranch,Wind - Onshore,0,0,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,NULL,United States,Colorado,CO,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
168,2025-07-02 19:38:19.835,0,2012-03-13 00:00:00.0000000,NULL,2018-11-27 14:42:20.5270000,Ed Jones - US 8552,Sommerville Farms,NULL,0,0,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,NULL,United States,NULL,NULL,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
638,2025-07-02 19:38:19.835,0,2013-11-20 10:00:18.0000000,NULL,2019-01-25 15:56:29.0908460,Phil Helmer - US 8138,Carousel,Wind - Onshore,100,0,0,0,0,Acquisition,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,100,100,NULL,Jeffrey Jackson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.3631,-102.196,NULL,1228,NULL,NULL,NULL,0,0,NULL,0,Burlington,0,NULL,NULL,Flat agricultural land,United States - North,USA_Central,United States,Colorado,CO,1,0,1228,NULL,NULL,United States - West,0,http://arcgis.edf-re.com/docs/FatalFlawAnalysis_Carousel_20131018.pdf,0,0,0,0,NULL,NULL,0,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
495,2025-07-02 19:38:19.835,0,2013-09-18 11:10:06.5470000,NULL,2018-11-27 14:42:20.5270000,Ed Jones - US 8552,USAF Academy,Solar,0,0,0,0,0,Green Field,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL,0,NULL,NULL,NULL,United States - North,NULL,United States,Colorado,CO,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
2116,2025-07-02 19:38:19.835,1,2016-04-21 09:26:22.0000000,NULL,2018-10-25 22:25:54.0458552,Ed Jones - US 9999,Washington Co (Option 1),Wind - Onshore,150,0,0,0,0,Acquisition,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL,150,150,NULL,Scott Kuhlke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,NULL,0,Akron,0,NULL,NULL,NULL,United States - South,NULL,United States,Colorado,CO,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,,NULL,2020-12-03,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
654,2025-07-02 19:38:19.835,0,2014-01-02 09:22:19.0000000,NULL,2019-01-25 15:56:29.0908460,Phil Helmer - US 8138,Cucharas,Wind - Onshore,200,0,0,0,0,Green Field,0,0,Project killed in reorg,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,200,200,NULL,John Forgash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.690501,-104.487695,NULL,0,NULL,NULL,NULL,0,0,NULL,0,Walsenburg,0,NULL,NULL,East of Walsengurg,United States - North,USA_Central,United States,Colorado,CO,0,0,0,NULL,NULL,United States - West,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,G:\Projects\USA_Central\Cucharas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
835,2025-07-02 19:38:19.835,1,2014-04-10 16:09:41.0000000,NULL,2019-01-25 15:56:29.0908460,Phil Helmer - US 8138,Townsend Solar,Solar,8,8,0,0,0,NULL,0,0,NULL,Inactive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,8,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.382065,-75.742373,NULL,25,NULL,NULL,NULL,0,0,NULL,0,Wilmington,0,NULL,NULL,NULL,United States - North,USA_North,United States,Delaware,DE,0,0,0,NULL,NULL,United States - East,0,NULL,0,0,0,0,NULL,NULL,0,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0
